Customer
888 US Services Inc.
"8x8, Inc."
Ablecom. Co. LTD
Abu Sharif Brothers Company LLC
Accenture (South Africa) (Pty) Ltd
Accenture A/S
Accenture Canada
Accenture Company Limited
Accenture Company Limited (Hong Kong)
Accenture Inc.
Accenture Pte Ltd
"Acentra Health, LLC"
ACHMEA INTERNE DIENSTEN N.V.
"ADP, INC."
Advanced Technology Solutions Int.
Advania Finland Oy
Advania Norge AS
Advania Sverige AB
"AIG Global Operations, Inc."
"AIG Technologies, Inc."
Airwair International Ltd
AL FUTTAIM TECHNOLOGIES LLC
Al Nafitha International Information Technology Company
Alcon Vision LLC
Aldar Properties PJSC
Algotech Customer Experience S.R.L
Algotech Serbia
Altivon
Amdocs Management Limited
Angi
"Angie's List, Inc."
Arvato Systems GmbH
Ascotel Jordan
ASSOCIATION GROUPEMENT NATIONAL FORMATION AUTOMOBILE
Asystel Italia S.p.A.
AT&T (formerly SBC)
AT&T Corp.
AT&T Global Network Services (UK) B.V. - UK Branch
ATB Financial
Atea AS
Australian Unity Group Services Pty Ltd
Avtex
"Avtex Solutions, LLC"
AXA Group Operations SAS
"Bain Capital, LP"
BANNER HEALTH
Baufinex GmbH
Baxter Healthcare Corporation
Beam Living
Behr Process Corporation
Bell Canada
"Bestop, Inc."
BioNTech SE
Bizmatica Sistemi S.p.a.
Black Box Technologies New Zealand Limited
Blue Assistance S.p.A.
Bon Secours Mercy Health
Bonprix S.R.L.
BPER Banca S.p.A
Bright Health
Bright Health Management Inc.
Brinly Hardy Co.
British Telecommunications PLC
C1
Call Center Resources FZ LLC
Callscan Australia Pty Ltd
CALLSCAN AUSTRALIA PTY. LTD.
Carahsoft Technology Corp
"Carestream Health, Inc."
CCR FZ LLC
"CenExel Clinical Research, Inc."
CGI France SAS
CGI Group Inc.
CGI ISMC Polska Sp. z o.o.
Children International
CLEAResult Consulting Inc.
Cloudoe BV
Cludo Sp. z o.o.
CNSI
Co-operators Financial Services Limited
Coca-Cola Europacific Partners Deutschland GmbH
Coca-Cola European Partners Deutschland GmbH
Coca-Cola European Partners Germany
Cognizant
Cognizant Technology Solutions U.S. Corporation
ComApp S.r.l
Computershare Technology Services (UK) Limited
Conn3ct (Connect Managed Services (UK) Limited)
Connect (Connect Managed Services (UK) Limited)
CONNECT SA OPCO (PTY) LTD
"Consumer Safety Technology, LLC"
"ConvergeOne, Inc."
Cooperatieve Rabobank U.A.
COSMOTE - Mobile Telecommunications S.A.
Cosmote Mobile Telecommunications S.A. 
Cosmote Mobile Telecommunications Single Member S.A. 
Cosmote SA
CoverApps
"Cox Automotive Corporate Services, LLC"
